"start_time","length","count(*)"
"1936","4","1"
"1938","4","2"
"1940","4","1"
"1943","4","1"
"1943","10","1"
"1944","4","4"
"1945","4","1"
"1945","7","1"
"1946","4","1"
"1948","4","1"
"1949","4","1"
"1950","4","5"
"1952","4","20"
"1952","5","1"
"1953","4","19"
"1954","4","40"
"1954","5","1"
"1954","7","1"
"1955","4","39"
"1955","5","1"
"1955","6","2"
"1955","15","1"
"1956","4","53"
"1956","5","1"
"1956","6","2"
"1956","9","1"
"1957","4","166"
"1957","5","1"
"1957","7","4"
"1957","8","1"
"1957","10","1"
"1958","4","70"
"1958","5","3"
"1958","6","1"
"1958","7","63"
"1958","10","1"
"1958","15","1"
"1959","4","139"
"1959","5","3"
"1959","6","1"
"1959","7","2"
"1959","8","1"
"1960","4","310"
"1960","5","11"
"1960","6","1"
"1960","7","2"
"1960","8","4"
"1960","11","1"
"1961","4","195"
"1961","5","9"
"1961","6","1"
"1961","7","1"
"1961","8","2"
"1961","9","1"
"1961","15","1"
"1961","18","1"
"1962","4","186"
"1962","5","8"
"1962","6","2"
"1962","7","2"
"1962","8","3"
"1962","10","1"
"1963","4","266"
"1963","5","8"
"1963","6","10"
"1963","7","23"
"1963","8","3"
"1963","9","1"
"1963","12","1"
"1963","15","1"
"1963","17","1"
"1964","4","431"
"1964","5","8"
"1964","6","4"
"1964","7","3"
"1964","8","4"
"1964","10","1"
"1964","11","1"
"1965","4","490"
"1965","5","19"
"1965","6","6"
"1965","7","9"
"1965","8","6"
"1965","9","4"
"1965","10","1"
"1965","13","1"
"1965","15","1"
"1965","16","1"
"1965","20","1"
"1966","4","783"
"1966","5","24"
"1966","6","16"
"1966","7","7"
"1966","8","2"
"1966","9","1"
"1966","10","1"
"1966","12","3"
"1966","20","1"
"1966","22","1"
"1967","4","566"
"1967","5","30"
"1967","6","29"
"1967","7","12"
"1967","8","5"
"1967","9","4"
"1967","10","3"
"1967","11","3"
"1967","12","2"
"1967","13","1"
"1967","14","1"
"1967","16","1"
"1967","19","1"
"1968","4","667"
"1968","5","50"
"1968","6","27"
"1968","7","9"
"1968","8","9"
"1968","9","8"
"1968","10","6"
"1968","12","1"
"1969","4","1095"
"1969","5","66"
"1969","6","28"
"1969","7","22"
"1969","8","20"
"1969","9","6"
"1969","10","3"
"1969","11","5"
"1969","12","2"
"1969","15","3"
"1969","17","1"
"1969","20","1"
"1969","21","1"
"1970","4","1014"
"1970","5","52"
"1970","6","41"
"1970","7","40"
"1970","8","18"
"1970","9","8"
"1970","10","6"
"1970","11","4"
"1970","12","1"
"1970","14","1"
"1971","4","1205"
"1971","5","94"
"1971","6","68"
"1971","7","40"
"1971","8","26"
"1971","9","13"
"1971","10","6"
"1971","11","3"
"1971","12","3"
"1971","13","1"
"1971","14","1"
"1971","22","1"
"1971","30","1"
"1971","46","1"
"1972","4","2473"
"1972","5","155"
"1972","6","64"
"1972","7","46"
"1972","8","30"
"1972","9","12"
"1972","10","7"
"1972","11","8"
"1972","12","1"
"1972","13","7"
"1972","14","10"
"1972","15","1"
"1972","16","3"
"1972","18","2"
"1972","20","1"
"1972","21","1"
"1972","25","1"
"1972","27","1"
"1972","38","1"
"1972","45","1"
"1973","4","1862"
"1973","5","79"
"1973","6","63"
"1973","7","50"
"1973","8","31"
"1973","9","16"
"1973","10","23"
"1973","11","7"
"1973","12","4"
"1973","13","2"
"1973","14","3"
"1973","15","2"
"1973","16","1"
"1973","18","1"
"1973","23","1"
"1973","24","1"
"1974","4","2277"
"1974","5","106"
"1974","6","96"
"1974","7","57"
"1974","8","41"
"1974","9","50"
"1974","10","9"
"1974","11","10"
"1974","12","15"
"1974","13","4"
"1974","14","2"
"1974","15","2"
"1974","17","2"
"1974","18","1"
"1974","19","1"
"1974","20","1"
"1974","23","1"
"1974","24","2"
"1975","4","2736"
"1975","5","93"
"1975","6","128"
"1975","7","81"
"1975","8","75"
"1975","9","24"
"1975","10","13"
"1975","11","7"
"1975","12","12"
"1975","13","6"
"1975","14","7"
"1975","16","1"
"1975","17","4"
"1975","18","2"
"1975","19","1"
"1975","21","1"
"1975","23","1"
"1975","38","1"
"1976","4","2916"
"1976","5","141"
"1976","6","132"
"1976","7","114"
"1976","8","52"
"1976","9","33"
"1976","10","17"
"1976","11","26"
"1976","12","6"
"1976","13","5"
"1976","14","1"
"1976","15","4"
